row_id,icd9_code,short_title,long_title
0,01716,erythem nod tb-oth test,"erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1,01720,tb periph lymph-unspec,"tuberculosis of peripheral lymph nodes, unspecified"
2,01721,tb periph lymph-no exam,"tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
3,01722,tb periph lymph-exam unk,"tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)"
4,01723,tb periph lymph-micro dx,"tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy"
5,01724,tb periph lymph-cult dx,"tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
6,01725,tb periph lymph-histo dx,"tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
7,01726,tb periph lymph-oth test,"tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
8,01730,tb of eye-unspec,"tuberculosis of eye, unspecified"
9,01731,tb of eye-no exam,"tuberculosis of eye, bacteriological or histological examination not done"
10,01732,tb of eye-exam unkn,"tuberculosis of eye, bacteriological or histological examination unknown (at present)"
11,01733,tb of eye-micro dx,"tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy"
12,01734,tb of eye-cult dx,"tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
13,01735,tb of eye-histo dx,"tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
14,01736,tb of eye-oth test,"tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
15,01740,tb of ear-unspec,"tuberculosis of ear, unspecified"
16,01741,tb of ear-no exam,"tuberculosis of ear, bacteriological or histological examination not done"
17,01742,tb of ear-exam unkn,"tuberculosis of ear, bacteriological or histological examination unknown (at present)"
18,01743,tb of ear-micro dx,"tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
19,01744,tb of ear-cult dx,"tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
20,01745,tb of ear-histo dx,"tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
21,01746,tb of ear-oth test,"tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
22,01750,tb of thyroid-unspec,"tuberculosis of thyroid gland, unspecified"
23,01751,tb of thyroid-no exam,"tuberculosis of thyroid gland, bacteriological or histological examination not done"
24,01752,tb of thyroid-exam unkn,"tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
25,01753,tb of thyroid-micro dx,"tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy"
26,01754,tb of thyroid-cult dx,"tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
27,01755,tb of thyroid-histo dx,"tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
28,01756,tb of thyroid-oth test,"tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
29,01760,tb of adrenal-unspec,"tuberculosis of adrenal glands, unspecified"
30,01761,tb of adrenal-no exam,"tuberculosis of adrenal glands, bacteriological or histological examination not done"
31,01762,tb of adrenal-exam unkn,"tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)"
32,01763,tb of adrenal-micro dx,"tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy"
33,01764,tb of adrenal-cult dx,"tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
34,01765,tb of adrenal-histo dx,"tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
35,01766,tb of adrenal-oth test,"tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
36,01770,tb of spleen-unspec,"tuberculosis of spleen, unspecified"
37,01771,tb of spleen-no exam,"tuberculosis of spleen, bacteriological or histological examination not done"
38,01772,tb of spleen-exam unkn,"tuberculosis of spleen, bacteriological or histological examination unknown (at present)"
39,01773,tb of spleen-micro dx,"tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy"
40,01774,tb of spleen-cult dx,"tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
