row_id,icd9_code,short_title,long_title
0,1423,chorioret les xenon coag,destruction of chorioretinal lesion by xenon arc photocoagulation
1,1424,chorioret les laser coag,destruction of chorioretinal lesion by laser photocoagulation
2,1425,chorioret les p/coag nos,destruction of chorioretinal lesion by photocoagulation of unspecified type
3,1426,chorioret les radiother,destruction of chorioretinal lesion by radiation therapy
4,1427,chorioret les rad implan,destruction of chorioretinal lesion by implantation of radiation source
5,1429,chorioret les destr nec,other destruction of chorioretinal lesion
6,1431,retinal tear diathermy,repair of retinal tear by diathermy
7,1432,retinal tear cryotherapy,repair of retinal tear by cryotherapy
8,1433,retinal tear xenon coag,repair of retinal tear by xenon arc photocoagulation
9,1434,retinal tear laser coag,repair of retinal tear by laser photocoagulation
10,1435,retina tear photocoa nos,repair of retinal tear by photocoagulation of unspecified type
11,1439,retinal tear repair nec,other repair of retinal tear
12,1441,scleral buckle w implant,scleral buckling with implant
13,1449,scleral buckling nec,other scleral buckling
14,1451,detach retina-diathermy,repair of retinal detachment with diathermy
15,1452,detach retina-cryotherap,repair of retinal detachment with cryotherapy
16,1453,detach retina xenon coag,repair of retinal detachment with xenon arc photocoagulation
17,1454,detach retina laser coag,repair of retinal detachment with laser photocoagulation
18,1455,detach ret photocoag nos,repair of retinal detachment with photocoagulation of unspecified type
19,1459,repair retina detach nec,other repair of retinal detachment
20,146,remov pros mat post seg,removal of surgically implanted material from posterior segment of eye
21,1471,anterior remov vitreous,"removal of vitreous, anterior approach"
22,1472,vitreous removal nec,other removal of vitreous
23,1473,anterior mechan vitrect,mechanical vitrectomy by anterior approach
24,1474,mech vitrectomy nec,other mechanical vitrectomy
25,1475,vitreous substitut injec,injection of vitreous substitute
26,1479,vitreous operation nec,other operations on vitreous
27,1481,imp epiretinal prosth,implantation of epiretinal visual prosthesis
28,1482,rem epiretinal prosth,removal of epiretinal visual prosthesis
29,1483,rev/repl epiretinal pros,revision or replacement of epiretinal visual prosthesis
30,149,other post segment ops,"other operations on retina, choroid, and posterior chamber"
31,1501,extraoc musc-tend biopsy,biopsy of extraocular muscle or tendon
32,1509,extraoc musc dx proc nec,other diagnostic procedures on extraocular muscles and tendons
33,1511,one extraoc mus recess,recession of one extraocular muscle
34,1512,1 extraoc muscl advance,advancement of one extraocular muscle
35,1513,1 extraoc muscl resect,resection of one extraocular muscle
36,1519,xtraoc mus op/detach nec,other operations on one extraocular muscle involving temporary detachment from globe
37,1521,lengthen 1 extraoc musc,lengthening procedure on one extraocular muscle
38,1522,shorten 1 extraoc musc,shortening procedure on one extraocular muscle
39,1529,op on 1 extraoc musc nec,other operations on one extraocular muscle
40,153,temp detach >1 xtroc mus,"operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes"
41,154,oth op on >l extraoc mus,"other operations on two or more extraocular muscles, one or both eyes"
42,155,extraocul mus transposit,transposition of extraocular muscles
43,156,revis extraoc musc surg,revision of extraocular muscle surgery
44,157,extraoc musc inj repair,repair of injury of extraocular muscle
45,159,oth extraoc mus-tend op,other operations on extraocular muscles and tendons
46,1713,lap ing hern-graft nos,"laparoscopic repair of inguinal hernia with graft or prosthesis, not otherwise specified"
47,1721,lap bil dir ing hrn-grft,laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis
48,1722,lap bi indir ing hrn-grf,laparoscopic bilateral repair of indirect inguinal hernia with graft or prosthesis
49,1723,lap bi dr/ind ing hrn-gr,"laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis"
50,1724,lap bil ing hern-grf nos,"laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified"
51,1731,lap mul seg res lg intes,laparoscopic multiple segmental resection of large intestine
52,1732,laparoscopic cecectomy,laparoscopic cecectomy
53,1733,lap right hemicolectomy,laparoscopic right hemicolectomy
54,1734,lap res transverse colon,laparoscopic resection of transverse colon
