row_id,itemid,label,linksto
0,1435,sustained nystamus,chartevents
1,1436,tactile disturbances,chartevents
2,1437,tremor,chartevents
3,1438,ulnar pulse [right],chartevents
4,1439,visual disturbances,chartevents
5,1447,transpulmonary pres,chartevents
6,1448,vd/vt:,chartevents
7,1449,arterial bp(rad),chartevents
8,1450,level one,chartevents
9,1451,l girth size,chartevents
10,1452,#1 chest tube irrig.,chartevents
11,1453,ct drsg,chartevents
12,1454,r hips drsg change,chartevents
13,1455,fingerstick glucose,chartevents
14,1456,popliteal pulse r/l,chartevents
15,1457,cpap,chartevents
16,1458,l ankle dsg change,chartevents
17,1459,gluteral drsg change,chartevents
18,1460,d5w 100meq nahc03,chartevents
19,1462,wrist  restraints,chartevents
20,1463,pad count,chartevents
21,1464,zzzly wake up,chartevents
22,1465,back dsg,chartevents
23,1466,atc,chartevents
24,1467,pericare,chartevents
25,1468,hi/minute/vol/alarm,chartevents
26,1,% inspir. time,chartevents
27,2,abi (l),chartevents
28,3,abi (r),chartevents
29,4,abi ankle bp [right],chartevents
30,5,abi brachial bp [right],chartevents
31,6,abp [systolic],chartevents
32,24,art lumen volume,chartevents
33,25,av interval,chartevents
34,26,aado2,chartevents
35,27,abdominal assessment,chartevents
36,28,abdominal girth,chartevents
37,29,access mmhg,chartevents
38,31,activity,chartevents
39,32,activity tolerance,chartevents
40,34,add gas flow (vent),chartevents
41,35,additional gas (lpm),chartevents
42,36,additional gas(mask),chartevents
43,37,additional gas(vent),chartevents
44,38,airway,chartevents
45,39,airway size,chartevents
46,40,airway type,chartevents
47,41,alarms activated,chartevents
48,43,angio appearance #1 [attribute 1],chartevents
49,44,angio appearance #2 [attribute 1],chartevents
50,45,angio dressing #1,chartevents
51,46,angio dressing #2,chartevents
52,47,angio site #1,chartevents
53,48,angio site #2,chartevents
54,49,anti-embolism [device],chartevents
55,50,apnea time interval,chartevents
56,51,arterial bp [systolic],chartevents
57,52,arterial bp mean,chartevents
58,53,arterial pressure,chartevents
59,54,assistance device,chartevents
60,55,assisted systole,chartevents
61,56,atrial pacemaker [sense],chartevents
62,57,atrial pacemaker threshold [unit],chartevents
63,58,atrial pacemaker [ma],chartevents
64,59,augmented diastole,chartevents
65,60,auto-peep level,chartevents
66,61,avdo2,chartevents
67,62,baedp,chartevents
68,63,bipap - bpm,chartevents
69,64,bipap - epap,chartevents
70,65,bipap - est. vt,chartevents
71,66,bipap - ipap,chartevents
72,67,bipap - o2 lpm,chartevents
73,68,bipap-mode,chartevents
74,69,bsa,chartevents
75,70,bsa - english,chartevents
76,71,bsa - metric,chartevents
77,72,back care,chartevents
78,74,base excess,chartevents
79,75,baseline current/ma,chartevents
80,76,bath,chartevents
81,77,behavior,chartevents
82,78,bladder irrigation,chartevents
83,79,blood flow ml/min,chartevents
84,80,bowel sounds,chartevents
85,81,brachial pulse [right],chartevents
86,82,braden activity,chartevents
87,83,braden frict/shear,chartevents
88,84,braden mobility,chartevents
89,85,braden moisture,chartevents
90,86,braden nutrition,chartevents
91,87,braden score,chartevents
92,88,braden sensorypercep,chartevents
93,89,c.o. (fick),chartevents
94,90,c.o.(thermodilution),chartevents
95,91,cpm,chartevents
96,92,cpp,chartevents
97,93,ct #1 crepitus,chartevents
98,94,ct #1 drainage,chartevents
99,95,ct #1 dressing,chartevents
100,96,ct #1 [fluctuate],chartevents
101,97,ct #1 suction amount,chartevents
102,98,ct #2 crepitus,chartevents
103,99,ct #2 drainage,chartevents
104,100,ct #2 dressing,chartevents
105,101,ct #2 [fluctuate],chartevents
106,102,ct #2 suction amount,chartevents
107,103,ct #3 crepitus,chartevents
108,104,ct #3 drainage,chartevents
109,105,ct #3 dressing,chartevents
110,106,ct #3 [fluctuate],chartevents
111,107,ct #3 suction amount,chartevents
112,108,ct #4 crepitus,chartevents
113,109,ct #4 drainage,chartevents
114,110,ct #4 dressing,chartevents
115,111,ct #4 [fluctuate],chartevents
116,112,ct #4 suction amount,chartevents
117,113,cvp,chartevents
118,114,cao2,chartevents
119,115,capillary refill [right],chartevents
120,116,cardiac index,chartevents
121,117,catheter insert date,chartevents
122,118,cerv collar status,chartevents
123,119,cervical collar type,chartevents
124,121,chest pt [right],chartevents
125,122,chest tube site #1,chartevents
126,123,chest tube site #2,chartevents
127,124,chest tube site #3,chartevents
128,125,chest tube site #4,chartevents
129,127,circulation/skinint,chartevents
130,128,code status,chartevents
131,129,collar care,chartevents
132,130,communication,chartevents
133,131,compliance (40-60ml),chartevents
134,132,compliance-corrected,chartevents
135,133,cont.nebulizer(drug),chartevents
136,134,cooling [device],chartevents
137,135,corneal reflex [right],chartevents
138,136,cough effort,chartevents
139,137,cough reflex,chartevents
140,138,cough type,chartevents
141,139,cough/deep breathe,chartevents
142,140,cuff leak,chartevents
143,141,cuff pressure-airway,chartevents
144,142,current goal,chartevents
145,143,cvo2,chartevents
146,146,dialysate flow ml/hr,chartevents
147,147,dialysate infusing,chartevents
148,148,dialysis access site,chartevents
149,149,dialysis access type,chartevents
150,150,dialysis machine,chartevents
151,151,dialysis site appear,chartevents
152,152,dialysis type,chartevents
153,153,diastolic unloading,chartevents
154,154,diet type,chartevents
155,155,doppler bp,chartevents
156,156,dorsal pedpulse [right],chartevents
157,157,ett [mark],chartevents
158,158,ett position change,chartevents
159,159,ectopy frequency,chartevents
160,160,ectopy frequency 2,chartevents
161,161,ectopy type,chartevents
162,162,ectopy type 2,chartevents
163,163,edema #1 [location],chartevents
164,164,edema #2 [location],chartevents
165,165,education barrier,chartevents
166,166,education handout,chartevents
167,167,education learner,chartevents
168,168,education method,chartevents
169,169,education readiness,chartevents
170,170,education response,chartevents
171,171,education topic #1,chartevents
172,172,education topic #2,chartevents
173,173,effluent press mmhg,chartevents
174,174,emesis [appearance],chartevents
175,175,energy expenditure,chartevents
176,176,epi infusion rate,chartevents
177,177,epidural appearance,chartevents
178,178,epidural bolus,chartevents
179,179,epidural location,chartevents
180,180,epidural medication,chartevents
181,181,epidural total dose,chartevents
182,182,extubation date,chartevents
183,183,eye care,chartevents
184,184,eye opening,chartevents
185,185,fio2 alarm-high,chartevents
186,186,fio2 alarm-low,chartevents
187,187,family communication,chartevents
188,188,femoral pulse [right],chartevents
189,189,fio2 (analyzed),chartevents
190,190,fio2 set,chartevents
191,191,fio2/o2 delivered,chartevents
192,192,filter pressure mmhg,chartevents
193,193,flatus,chartevents
194,194,flow-by (lpm),chartevents
195,195,flow-by sensitivity,chartevents
196,196,foley care,chartevents
197,197,follows commands,chartevents
198,198,gcs total,chartevents
199,199,gi [guaiac],chartevents
200,200,gi intub #1 [type],chartevents
201,201,gi intub #2 [type],chartevents
202,202,gi#1 tube placecheck,chartevents
203,203,gi#1 tube [status],chartevents
204,204,gi#2 tube placecheck,chartevents
205,205,gi#2 tube [status],chartevents
206,206,gu cath insert date,chartevents
207,207,gu catheter size,chartevents
208,208,gag reflex,chartevents
209,209,graft/flap pulse,chartevents
210,210,hob,chartevents
211,211,heart rate,chartevents
212,212,heart rhythm,chartevents
213,213,heart sounds,chartevents
214,216,height of bed,chartevents
215,217,heparin dose,chartevents
216,218,high insp. pressure,chartevents
217,219,high resp. rate,chartevents
218,221,i:e ratio,chartevents
219,222,i:e ratio-calculated,chartevents
220,223,i:e ratio-tcpcv,chartevents
221,224,iabp mean,chartevents
222,225,iabp setting,chartevents
223,226,icp,chartevents
224,227,inv line#1 d/c date,chartevents
225,228,inv line#1 site date,chartevents
226,229,inv line#1 [type],chartevents
227,230,inv line#1 zero/cal,chartevents
228,231,inv line#1insertdate,chartevents
229,232,inv line#1siteappear,chartevents
230,233,inv line#2 d/c date,chartevents
231,234,inv line#2 site date,chartevents
232,235,inv line#2 [type],chartevents
233,236,inv line#2 zero/cal,chartevents
234,237,inv line#2insertdate,chartevents
235,238,inv line#2siteappear,chartevents
236,239,inv line#3 d/c date,chartevents
237,240,inv line#3 site date,chartevents
238,241,inv line#3 [type],chartevents
239,242,inv line#3 zero/cal,chartevents
240,243,inv line#3insertdate,chartevents
241,244,inv line#3siteappear,chartevents
242,245,inv line#4 d/c date,chartevents
243,246,inv line#4 site date,chartevents
244,247,inv line#4 [type],chartevents
245,248,inv line#4 zero/cal,chartevents
246,249,inv line#4insertdate,chartevents
247,250,inv line#4siteappear,chartevents
248,251,inv line#5 d/c date,chartevents
249,252,inv line#5 site date,chartevents
250,253,inv line#5 [type],chartevents
251,254,inv line#5 zero/cal,chartevents
252,255,inv line#5insertdate,chartevents
253,256,inv line#5siteappear,chartevents
254,257,inv line#6 d/c date,chartevents
255,258,inv line#6 site date,chartevents
256,259,inv line#6 [type],chartevents
257,260,inv line#6 zero/cal,chartevents
258,261,inv line#6insertdate,chartevents
259,262,inv line#6siteappear,chartevents
260,263,inv line#7 d/c date,chartevents
261,264,inv line#7 site date,chartevents
262,265,inv line#7 [type],chartevents
263,266,inv line#7 zero/cal,chartevents
264,267,inv line#7insertdate,chartevents
265,268,inv line#7siteappear,chartevents
266,269,inv line#8 d/c date,chartevents
267,270,inv line#8 site date,chartevents
268,271,inv line#8 [type],chartevents
269,272,inv line#8 zero/cal,chartevents
270,273,inv line#8insertdate,chartevents
271,274,inv line#8siteappear,chartevents
272,283,inv#1 waveformappear,chartevents
273,284,inv#2 waveformappear,chartevents
274,285,inv#3 waveformappear,chartevents
275,286,inv#4 waveformappear,chartevents
276,287,inv#5 waveformappear,chartevents
277,288,inv#6 waveformappear,chartevents
278,289,inv#7 waveformappear,chartevents
279,290,inv#8 waveformappear,chartevents
280,291,iv #1 d/c date,chartevents
281,292,iv #1 insert date,chartevents
282,294,iv #1 [site],chartevents
283,295,iv #2 d/c date,chartevents
284,296,iv #2 insert date,chartevents
285,297,iv #2 [site],chartevents
286,298,iv #3 d/c date,chartevents
287,299,iv #3 insert date,chartevents
288,300,iv #3 [site],chartevents
289,301,iv #4 d/c date,chartevents
290,302,iv #4 insert date,chartevents
291,303,iv #4 [site],chartevents
292,308,iv drip dose #1,chartevents
293,309,iv drip dose #2,chartevents
294,310,iv drip medication#1,chartevents
295,311,iv drip medication#2,chartevents
296,320,iv site #1,chartevents
297,321,iv site #2,chartevents
298,322,iv site #3,chartevents
299,323,iv site #4,chartevents
300,324,iv site appear #1,chartevents
301,325,iv site appear #2,chartevents
302,326,iv site appear #3,chartevents
303,327,iv site appear #4,chartevents
304,338,imp skin cleanse #1,chartevents
305,339,imp skin cleanse #2,chartevents
306,340,imp skin cleanse #3,chartevents
307,341,imp skin cleanse #4,chartevents
308,342,imp skin cleanse #5,chartevents
309,343,imp skin cleanse #6,chartevents
310,344,impskin character #1,chartevents
311,345,impskin character #2,chartevents
312,346,impskin character #3,chartevents
313,347,impskin character #4,chartevents
314,348,impskin character #5,chartevents
315,349,impskin character #6,chartevents
316,350,impskin #3 [drain],chartevents
317,351,impskin #6 [drain],chartevents
318,352,impskin #1 [drain],chartevents
319,353,impskin #2 [drain],chartevents
320,354,impskin #4 [drain],chartevents
321,355,impskin #5 [drain],chartevents
322,356,impskin treatment #1,chartevents
323,357,impskin treatment #2,chartevents
324,358,impskin treatment #3,chartevents
325,359,impskin treatment #4,chartevents
326,360,impskin treatment #5,chartevents
327,361,impskin treatment #6,chartevents
328,362,impskin wound base#1,chartevents
329,363,impskin wound base#2,chartevents
330,364,impskin wound base#3,chartevents
331,365,impskin wound base#4,chartevents
332,366,impskin wound base#5,chartevents
333,367,impskin wound base#6,chartevents
334,368,impskin #1 [width],chartevents
335,369,impskin #2 [width],chartevents
336,370,impskin #3 [width],chartevents
337,371,impskin #4 [width],chartevents
338,372,impskin #5 [width],chartevents
339,373,impskin #6 [width],chartevents
340,374,impaired skin site#1,chartevents
341,375,impaired skin site#2,chartevents
342,376,impaired skin site#3,chartevents
343,377,impaired skin site#4,chartevents
344,378,impaired skin site#5,chartevents
345,379,impaired skin site#6,chartevents
346,380,inc cleansing #1,chartevents
347,381,inc cleansing #2,chartevents
348,382,inc cleansing #3,chartevents
349,383,inc cleansing #4,chartevents
350,384,inc cleansing #5,chartevents
351,385,inc cleansing #6,chartevents
352,386,inc #1 [closure],chartevents
353,387,inc #2 [closure],chartevents
354,388,inc #3 [closure],chartevents
355,389,inc #4 [closure],chartevents
356,390,inc #5 [closure],chartevents
357,391,inc #6 [closure],chartevents
358,392,inc #1 [drainage],chartevents
359,393,inc #2 [drainage],chartevents
360,394,inc #3 [drainage],chartevents
361,395,inc #4 [drainage],chartevents
362,396,inc #5 [drainage],chartevents
363,397,inc #6 [drainage],chartevents
364,398,inc #1 [dressing],chartevents
365,399,inc #2 [dressing],chartevents
366,400,inc #3 [dressing],chartevents
367,401,inc #5 [dressing],chartevents
368,402,inc #6 [dressing],chartevents
369,403,inc #4 [dressing],chartevents
370,404,inc/wound packing #1,chartevents
371,405,inc/wound packing #2,chartevents
372,406,inc/wound packing #3,chartevents
373,407,inc/wound packing #4,chartevents
374,408,inc/wound packing #5,chartevents
375,409,inc/wound packing #6,chartevents
376,410,incentive spirometry,chartevents
377,411,incision/wound #1,chartevents
378,412,incision/wound #2,chartevents
379,413,incision/wound #3,chartevents
380,414,incision/wound #4,chartevents
381,415,incision/wound #5,chartevents
382,416,incision/wound #6,chartevents
383,417,inspired gas temp,chartevents
384,418,intubation date,chartevents
385,419,kneeimmobilizeloc [right],chartevents
386,420,lap,chartevents
387,421,lcw,chartevents
