2016 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults – Medication Review,C10: Care for Older Adults – Functional Status Assessment,C11: Care for Older Adults – Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: Diabetes Care – Eye Exam,C14: Diabetes Care – Kidney Disease Monitoring,C15: Diabetes Care – Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Appeals Auto–Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Medication Adherence for Diabetes Medications,D13: Medication Adherence for Hypertension (RAS antagonists),D14: Medication Adherence for Cholesterol (Statins),D15: MTM Program Completion Rate for CMR
,,,,,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,02/15/2015 - 05/31/2015,04/18/2014 - 07/31/2014,04/18/2014 - 07/31/2014,04/18/2014 - 07/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,04/18/2014 - 07/31/2014,01/01/2014 - 12/31/2014,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,Not Applicable,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,03/23/2015 - 06/05/2015,03/23/2015 - 06/05/2015,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,Not Applicable,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,01/01/2014 - 09/30/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014
E0654,Employer/Union Only Direct Contract PDP,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,0.0,No data available,0.05,Not enough data available,100,Medicare shows only a Star Rating for this topic,85%,91%,Not enough data available,13%,81%,83%,78%,1.6%
E2630,Employer/Union Only Direct Contract PDP,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C and O Employees Hospital Association,C & O Employees' Hospital Association,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,0.0,Not enough data available,0.00,Not enough data available,100,Medicare shows only a Star Rating for this topic,89%,93%,Not enough data available,8%,84%,81%,80%,19.1%
E3014,Employer/Union Only Direct Contract PDP,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,0.3,76%,0.01,Not enough data available,100,Medicare shows only a Star Rating for this topic,88%,92%,Not enough data available,10%,82%,85%,80%,2.5%
E4744,Employer/Union Only Direct Contract PDP,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,0.0,No data available,0.01,Not enough data available,80,Medicare shows only a Star Rating for this topic,83%,91%,Not enough data available,11%,83%,84%,81%,CMS identified issues with this plan's data
E7316,Employer/Union Only Direct Contract PDP,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad  Employes Health Systems,Union Pacific Railroad Employes Health Systems,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,0.0,Not enough data available,0.02,Not enough data available,100,Medicare shows only a Star Rating for this topic,88%,88%,Not enough data available,13%,70%,76%,73%,40.1%
H0022,Demo,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0028,Local CCP,"CHA HMO, INC.","CHA HMO, Inc.",Humana Inc.,Not enough data available,72%,77%,Plan too new to be measured,Plan too new to be measured,51%,95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,66%,94%,75%,83%,73%,58%,11%,Not enough data available,75%,Not enough data available,87%,86%,89%,0.97,15%,60,Medicare shows only a Star Rating for this topic,Not enough data available,Not enough data available,96%,98%,0.0,Not enough data available,0.97,15%,60,Medicare shows only a Star Rating for this topic,85%,Not enough data available,98,4%,79%,82%,79%,29.7%
H0104,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Advantage (PPO),BlueCross BlueShield of Alabama,74%,72%,70%,67%,78%,48%,95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,45%,67%,92%,82%,68%,79%,53%,9%,89%,74%,89%,88%,88%,86%,0.09,6%,80,Medicare shows only a Star Rating for this topic,97%,87%,93%,94%,19.2,68%,0.09,6%,80,Medicare shows only a Star Rating for this topic,86%,93%,99,10%,78%,81%,75%,31.4%
