code,category,long_description,short_description
TD   ,,Rn,Rn
A0428,,"Ambulance service, basic life support, non-emergency transport, (bls)",Bls
V5272,,"Assistive listening device, tdd",Tdd
S2080,,Laser-assisted uvulopalatoplasty (laup),Laup
S8037,,Magnetic resonance cholangiopancreatography (mrcp),Mrcp
E0950,,"Wheelchair accessory, tray, each",Tray
A0426,,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",Als 1
A0433,,"Advanced life support, level 2 (als 2)",Als 2
Q4136,,"Ez-derm, per square centimeter",Ezderm
HL   ,,Intern,Intern
G9531,,"Patient has documentation of ventricular shunt, brain tumor, multisystem trauma, pregnancy, or is currently taking an antiplatelet medication including: abciximab, cangrelor, cilostazol, clopidogrel, eptifibatide, prasugrel, ticlopidine, ticagrelor, tirofiban, or vorapaxar",Pt doc
A4565,,Slings,Slings
A4570,,Splint,Splint
A9546,,"Cobalt co-57/58, cyanocobalamin, diagnostic, per study dose, up to 1 microcurie",Co57/58
A9552,,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",F18 fdg
J7326,,"Hyaluronan or derivative, gel-one, for intra-articular injection, per dose",Gel-one
Q4134,,"Hmatrix, per square centimeter",Hmatrix
E0776,,Iv pole,Iv pole
TE   ,,Lpn/lvn,Lpn/lvn
M1061,,Patient pregnancy,Pt preg
G8669,,"Risk-adjusted functional status change residual score for the elbow, wrist or hand impairment not measured because the patient did not complete the fs status survey near discharge, patient not appropriate",Rafscrs
Q4127,,"Talymed, per square centimeter",Talymed
Q4116,,"Alloderm, per square centimeter",Alloderm
Q4115,,"Alloskin, per square centimeter",Alloskin
Q4123,,"Alloskin rt, per square centimeter",Alloskin
G9466,,All quality actions for the applicable measures in the aoe measures group have been performed for this patient,Aoe comp
Q4101,,"Apligraf, per square centimeter",Apligraf
G9930,,Patients who are receiving comfort care only,Com care
Q4135,,"Mediskin, per square centimeter",Mediskin
