PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,DEASCHEDULE
0002-0485_6d8a935c-fc7b-44c6-92d1-2337b959d1ce,0002-0485,BULK INGREDIENT,Insulin human,CRYSTAL,20150401,,BULK INGREDIENT,Eli Lilly and Company,INSULIN HUMAN,1,g/g,
0002-0535_e58e3711-d28b-43fa-bb4d-d808c193853c,0002-0535,BULK INGREDIENT,Insulin lispro,CRYSTAL,20140131,,BULK INGREDIENT,Eli Lilly and Company,INSULIN LISPRO,1,g/g,
0002-1401_70b2e81d-fb7e-48bb-b97d-7f2f26f18c41,0002-1401,DRUG FOR FURTHER PROCESSING,Dulaglutide,"INJECTION, SOLUTION",20140922,,DRUG FOR FURTHER PROCESSING,Eli Lilly and Company,DULAGLUTIDE,0.75,mg/.5mL,
0002-1402_70b2e81d-fb7e-48bb-b97d-7f2f26f18c41,0002-1402,DRUG FOR FURTHER PROCESSING,Dulaglutide,"INJECTION, SOLUTION",20140922,,DRUG FOR FURTHER PROCESSING,Eli Lilly and Company,DULAGLUTIDE,1.5,mg/.5mL,
0002-9307_08e6684c-6bad-4be4-b3c3-41d880b6b57e,0002-9307,BULK INGREDIENT,Insulin human,CRYSTAL,19821028,,BULK INGREDIENT,Eli Lilly and Company,INSULIN HUMAN,1,g/g,
0002-9524_58e4b500-11da-473e-8d53-05b9e302671e,0002-9524,BULK INGREDIENT,Insulin glargine,CRYSTAL,20141216,,BULK INGREDIENT,Eli Lilly and Company,INSULIN GLARGINE,1,g/g,
0006-0001_6c70f725-b1d3-4a69-9434-f6983270c823,0006-0001,BULK INGREDIENT,suvorexant,"TABLET, FILM COATED",20140815,,DRUG FOR FURTHER PROCESSING,Merck Sharp & Dohme Corp.,SUVOREXANT,5,mg/1,
0006-0002_6c70f725-b1d3-4a69-9434-f6983270c823,0006-0002,BULK INGREDIENT,suvorexant,"TABLET, FILM COATED",20140815,,DRUG FOR FURTHER PROCESSING,Merck Sharp & Dohme Corp.,SUVOREXANT,10,mg/1,
0006-0003_6c70f725-b1d3-4a69-9434-f6983270c823,0006-0003,BULK INGREDIENT,suvorexant,"TABLET, FILM COATED",20140815,,DRUG FOR FURTHER PROCESSING,Merck Sharp & Dohme Corp.,SUVOREXANT,15,mg/1,
0006-0004_6c70f725-b1d3-4a69-9434-f6983270c823,0006-0004,BULK INGREDIENT,suvorexant,"TABLET, FILM COATED",20140815,,DRUG FOR FURTHER PROCESSING,Merck Sharp & Dohme Corp.,SUVOREXANT,20,mg/1,
0006-3335_411e1b03-e0f4-43f0-bdbb-16b791d95744,0006-3335,BULK INGREDIENT,CILASTATIN SODIUM,POWDER,19870108,,BULK INGREDIENT,Merck Sharp & Dohme Corp.,CILASTATIN SODIUM,1,kg/kg,
0006-3340_1ee750c1-4541-4325-b37d-17fa0afe8fbe,0006-3340,BULK INGREDIENT,ERTAPENEM SODIUM,POWDER,20011121,,BULK INGREDIENT,Merck Sharp & Dohme Corp.,ERTAPENEM SODIUM,1,kg/kg,
0009-0026_5689393e-8937-4bbe-989a-10ee363835f5,0009-0026,BULK INGREDIENT,Methylprednisolone Acetate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,METHYLPREDNISOLONE ACETATE,1,kg/kg,
0009-0027_36d82d03-2e60-4be4-9087-d59149e3b836,0009-0027,BULK INGREDIENT,Testosterone Cypionate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,TESTOSTERONE CYPIONATE,1,kg/kg,
