index,X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
0,-13226507.2732739,4049625.55339061,2,53391362,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,91362,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,40,VENTURA,06111,USA,34.1549388720001,-118.815736391,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.losrobleshospital.com,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,40,NOT AVAILABLE,N
1,-13156201.0459209,4031977.72318218,3,11190023,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,90023,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,127,LOS ANGELES,06037,USA,34.023647302,-118.184164805,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.elalax.com,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,127,NOT AVAILABLE,N
2,-13171904.8938342,4041752.38558494,4,17090028,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028,NOT AVAILABLE,(323) 462-2271,GENERAL ACUTE CARE,OPEN,100,LOS ANGELES,06037,USA,34.0963913570001,-118.325234871,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://sch-hollywood.com/,NOT AVAILABLE,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,6,PROPRIETARY,-999,100,NOT AVAILABLE,N
3,-13132075.1047473,4037269.75865386,5,23691706,KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,95,LOS ANGELES,06037,USA,34.063038932,-117.967437788,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.khbaldwinpark.com,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,95,NOT AVAILABLE,N
4,-13152220.0561023,4009979.57327682,6,25190712,LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,90712,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,172,LOS ANGELES,06037,USA,33.8597066200001,-118.148402965,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.lakewoodregional.com,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,172,NOT AVAILABLE,N
5,-13134883.6809172,4048794.21273803,7,30791016,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,49,LOS ANGELES,06037,USA,34.1487586590001,-117.992667657,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.monroviamemorial.com,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,49,NOT AVAILABLE,N
6,-13151091.1947571,4035446.04482627,8,30891754,MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,101,LOS ANGELES,06037,USA,34.0494660590001,-118.138262231,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.montereyparkhosp.com,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,101,NOT AVAILABLE,N
7,-13175340.4444194,4005182.47624709,9,47090505,STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,TORRANCE,CA,90505,NOT AVAILABLE,NOT AVAILABLE,PSYCHIATRIC,OPEN,16,LOS ANGELES,06037,USA,33.823914464,-118.356096947,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.starsinc.com/,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,16,NOT AVAILABLE,N
8,-13086035.617241,4009761.96282404,10,9092879,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,92879,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,78,RIVERSIDE,06065,USA,33.8580833070001,-117.553858035,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.coronaregional.com,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,78,NOT AVAILABLE,N
9,-13419090.8379292,5083409.80811832,11,30696101,MODOC MEDICAL CENTER,228 W MCDOWELL AVE,ALTURAS,CA,96101,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,87,MODOC,06049,USA,41.4800562550001,-120.545743987,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.modocmedicalcenter.org,NOT AVAILABLE,NOT AVAILABLE,6,GOVERNMENT - LOCAL,-999,87,NOT AVAILABLE,Y
